,message,label_d,label_r,label_s,label_a,label_og,label_maj
0,added Ankit Radar Srm and Nu Di New,0,1,1,1,0,1
1,added Shreya New and Sunny Nist,0,1,1,1,0,1
2,"The Perfect Son.A: I have the perfect son.B: Does he smoke?A: No, he doesn't.B: Does he drink whiskey?A: No, he doesn't.B: Does he ever come home late?A: No, he doesn't.B: I guess you really do have the perfect son. How old is he?A: He will be six months old next Wednesday.  😀😀😀",1,1,1,1,1,1
3,Download Databuddy App and get upto Rs. 220 Paytm Cash. Click WEBSITE_URL,1,1,1,1,1,1
4,Girl: You would be a good dancer except for two things.Boy: What are the two things?Girl: Your feet. 😀😀,1,1,1,1,1,1
5,"A family of mice were surprised by a big cat. Father Mouse jumped and and said, ""Bow-wow!"" The cat ran away. ""What was that, Father?"" asked Baby Mouse. ""Well, son, that's why it's important to learn a second language."" 😀😀",1,1,1,1,1,1
6,"My friend said he knew a man with a wooden leg named Smith.So I asked him ""What was the name of his other leg?""😀😀😀😀",1,1,1,1,1,1
7,"The doctor to the patient: 'You are very sick'The patient to the doctor: 'Can I get a second opinion?'The doctor again: 'Yes, you are very ugly too...'I use this joke for retelling in reported speech. 😀😀😀",1,1,1,1,1,1
8,"A man goes to the doctor and says, ""Doctor, wherever I touch, it hurts.""The doctor asks, ""What do you mean?""The man says, ""When I touch my shoulder, it really hurts. If I touch my knee - OUCH! When I touch my forehead, it really, really hurts.""The doctor says, ""I know what's wrong with you - you've broken your finger!"" 😀😀😀😀",1,1,1,1,1,1
9,"Patient: Doctor, I have a pain in my eye whenever I drink tea.Doctor: Take the spoon out of the mug before you drink.😀",1,1,1,1,1,1
10,Patient: Doctor! You've got to help me! Nobody ever listens to me. No one ever pays any attention to what I have to say.Doctor: Next please!😀😀,1,1,1,1,1,1
11,"Under no circumstances, get tempted to use Free Wifi anywhere! Never! Check this video👇👇",1,1,1,1,1,1
12,"Two boys were arguing when the teacher entered the room.The teacher says, ""Why are you arguing?""One boy answers, ""We found a ten dollor bill and decided to give it to whoever tells the biggest lie.""""You should be ashamed of yourselves,"" said the teacher, ""When I was your age I didn't even know what a lie was.""The boys gave the ten dollars to the teacher.😀😀",1,1,1,1,1,1
13,"The wait is finally over papipate.com is live ,order food online now.Whenever  hunger  controls you  And you can’t think of anything else until you fill your belly open Papipate.com  and satisfy your inner devil  with the food you crave.We wish that  you will experience  flashbacks to the savory memories   enjoyed by your taste buds that will remind you of your childhood when you ate the delightful  food cooked by your mom.",1,1,1,1,1,1
14,Bhai sun jaldi se order kar......Amazon par sab kuch 99percent discount par mil raha hai. WEBSITE_URL,1,1,1,1,1,1
15,"Please read the entire thing properly and rate it.Write anything for the review, but only good things please.",1,1,1,1,1,1
16,It's a start-up by a friend of mine.He needs reviews.,1,1,1,1,1,1
17,"A BIG CYCLONE WARNING In Chennai, Dr S. R. Ramanan, Speaking about Chennai International Youth Fest'17.WEBSITE_URL",1,1,1,1,1,1
18,Like this video and share with your frnds and social media wall.,1,1,1,1,1,1
19,"A snail walks into a bar and the barman tells him there's a strict policy about having snails in the bar and so kicks him out. A year later the same snail re-enters the bar and asks the barman ""What did you do that for?"" 😀😀",1,1,1,1,1,1
